fold,accuracy
1,0.7777777777777778
2,1.0
3,0.75
4,1.0
5,1.0
6,0.7777777777777778
7,0.875
8,1.0
9,0.875
10,0.875
11,0.8888888888888888
12,0.75
13,1.0
14,1.0
15,0.75
16,1.0
17,0.875
18,1.0
19,0.875
20,1.0
21,1.0
22,0.75
23,1.0
24,1.0
25,0.875
26,1.0
27,0.875
28,0.875
29,0.875
30,1.0
31,0.8888888888888888
32,0.75
33,1.0
34,1.0
35,1.0
36,0.8888888888888888
37,0.875
38,1.0
39,0.75
40,1.0
41,0.8888888888888888
42,1.0
43,1.0
44,0.875
45,0.875
46,0.8888888888888888
47,1.0
48,0.75
49,1.0
50,1.0
51,1.0
52,0.875
53,1.0
54,0.875
55,1.0
56,0.8888888888888888
57,1.0
58,1.0
59,0.75
60,1.0
61,0.7777777777777778
62,0.875
63,1.0
64,0.875
65,0.875
66,1.0
67,0.875
68,0.75
69,1.0
70,0.875
71,1.0
72,1.0
73,1.0
74,0.875
75,0.75
76,0.8888888888888888
77,0.75
78,1.0
79,0.875
80,0.875
81,0.7777777777777778
82,0.75
83,1.0
84,0.875
85,0.75
86,1.0
87,1.0
88,0.875
89,0.625
90,0.875
91,1.0
92,0.875
93,0.875
94,1.0
95,0.875
96,1.0
97,0.875
98,0.875
99,1.0
100,0.875
